0,1,2,3
Ordinance  No.,Adoption  Date,Section,Section  this Code
37448,6-19-06,1,22.2-2
,,2,"22.2-31(a), (b)"
,,3  Added,22.2-34
37454,6-19-06,1,36.2-340(Table)
37459,6-19-06,1,"31-28(c)(1),"
,,,"31-29(i),"
,,,"31-68(d), (j), (k)"
,,2  Rpld,31-39(c)
37494,8- 7-06,1,20-17
37496,8- 7-06,1,6-24(a)
37507,8-21-06,1,"14.1-1, 14.1-3(f)"
,,2  Rpld,14.1-4
,,3,"14.1-15—14.1-18,"
,,,"14.1-19(a), (d)—(f),"
,,,14.1-21—14.1-23
,,Added,14.1-24
,,4  Rpld,14.1-44
,,5,"14.1-54, 14.1-55"
37524,9- 5-06,1,10-78
37534,9-18-06,1,20-131
37535,9-18-06,1,32-289
37589,10-19-06,1,7-2(d)
37606,11- 6-06,1  Added,2-15(f)
37608,11- 6-06,1,"32.1-8(a), (b)(2)"
37616,11-20-06,1,14.1-3(g)
37633,11-20-06,1,36.2-108(b)(2)
,,2,"36.2-205(e)(2), (f)(2)"
,,3,"36.2-314(e),"
,,,Table 314-1
,,4,"36.2-326(d), (e),"
,,,36.2-327
,,,"Table 327-1, (e),"
,,,"36.2-328(d), (e)"
,,5,"36.2-332(c)(1)(A), (D),"
,,,"36.2-333(f), (k),"
,,,"36.2-336(c), (d)(1)—(3), (5)"
,,6,36.2-340
,,,Table 340-1
,,7,"36.2-403(c)(2),"
,,,"36.2-409(d)(6)(D),"
,,,"36.2-413(c),"
,,,36.2-425
,,,"36.2-429(d),"
,,,"36.2-431(c)(7),"
,,,"36.2-432(b)(3), (c), (e)(8)"
,,8,"36.2-510(a)(2), (c)(2), (d)"
,,9,"36.2-530(c)(2), (5)"
,,10,"36.2-540(a)—(c), (d)(3), (f), (g),"
,,,"36.2-541(a)—(c), (e)(3), (h)"
,,11,36.2-553(c)(1)(B)
,,12,"36.2-561(d)(1), (e)"
,,,36.2-563(e)
,,13,36.2-624
,,,36.2-625(a)(4)
,,14,36.2-642
,,,"Table 642-1, (f),"
,,,"36.2-646(a), (b),"
,,,36.2-648(b)(5)
,,15,36.2-652
,,,"Table 652-2,"
,,,"36.2-654(c), (d),"
,,,Table 654-2
,,16,"36.2-661(c), (11),"
,,,36.2-662
,,Added,36.2-667(b)(5)
,,,36.2-668
,,,"Table 668-1,"
,,,"36.2-673(a), (d), (g), (h)"
,,Added,"36.2-673(i), (j)"
,,17,36.2-704(c)
,,Added,36.2-704(d)
,,,"36.2-705(f), (g)"
,,Added,36.2-705(h)
,,18,36.2-813
,,,36.2-817(b)(4)
,,19,"Ch. 36.2, App. A"
,,20,"Ch. 36.2, App. B-1(b)(7), (8), (12)"
,,Added,"Ch. 36.2, App. B-1(b)(14)"
,,Rnbd,"Ch. 36.2, App. B-1(b)(14)"
,,as,"Ch. 36.2, App. B-1(b)(15)"
,,21,"Ch. 36.2, App. B-2(c)"
,,Added,"Ch. 36.2, App. B-2(d)(3)(F), (G)"
,,22,"Ch. 36.2, App. C-1"
37634,12- 4-06,1  Added,32-101.20—
,,,32-101.29
37648,12-18-06,1,19-28
37673,2- 5-07,1,21-207(1)
37676,2- 5-07,1,21-81
37692,2-20-07,1  Rpld,31-1—31-124
,,2—10  Added,"31.1-100—  31.1-105,"
,,,"31.1-200—  31.1-210,"
,,,"31.1-300—  31.1-302,"
,,,"31.1-400—  31.1-404,"
,,,"31.1-500,  31.1-501,"
,,,"31.1-600—  31.1-604,"
,,,"Apps. A, B"
37708,3-19-07,1,33-23
37715,3-19-07,1,"24-97(b)(5), (8)"
37766,5-14-07,1,"32-217, 32-220"
,,2  Rpld,32-218
37767,5-14-07,1,"20-26(c), (d),"
,,,20-28
,,Dltd,20-29
,,,20-32
,,Dltd,20-33
,,,"20-33.1, 20-33.2"
,,Dltd,20-34—20-35
37768,5-14-07,1  Added,32-103.20—
,,,32-103.27
37769,5-14-07,1,32-16
37795,5-21-07,1,"36.2-205(d)(3), (f)(2), (A), (v)"
37799,6- 4-07,1,"24-26(a), (b), (d)"
,,2,24-48
37800,6- 4-07,1,14.1-1
,,2,"14.1-17(d),"
,,,14.1-22
,,,14.1-23(a)
37915,10- 1-07,1,"36.2-333(b), (3), (g)(2)"
37920,10- 1-07,1  Rpld,11.2-1—11.2-23
,,2  Added,11.4-1—11.4-30
37924,10- 1-07,1,"16-151(2),"
,,,"16-153, 16-173"
,,2  Rpld,16-175—16-183
37935,10-18-07,1,12-21—12-31
37936,10-18-07,1,23-35—23-46
37946,11-19-07,1,20-81
37947,11-19-07,1,"24-3, 24-4,"
,,,"24-26(a), 24-48(a)(2),"
,,,"24-90, 24-97"
,,2  Rpld,"24-8, 24-9"
37948,11-19-07,1,30-9.1(9)
37949,11-19-07,1,34-115
37972,12- 3-07,1  Added,7-48
37984,12-17-07,1,36.2-100(a)
,,2,"36.2-205(i)(1)(B), (3)(B), (j)(2)"
,,3,"36.2-314(e),"
,,,"36.2-332(b)(1), (c)(1)(B), (2)(B), (C), (E), (3)(A), (F), (G), (4)(A)—(D), (5)(A), (D), (E),  (6),"
,,,"36.2-340(table),"
,,4,36.2-403(c)(2)
,,5,"36.2-510(a)(1),"
,,,36.2-521
,,,"36.2-541(f),"
,,,"36.2-552(a),"
,,,36.2-553(d)(2)
,,6,"36.2-621(a), (b),"
,,,"36.2-622(c),"
,,,36.2-623
,,,36.2-624
,,,"36.2-625(a)(1), (2), (4), (6), (7), (b)(2), (3), (c)(1), (2)"
,,,"36.2-642(b)(2),"
,,,36.2-645
,,,"36.2-646(a),"
,,,"36.2-647(table),"
,,,"36.2-649(a),"
,,,"36.2-653(c),"
,,,"36.2-654(b)(1), (B), (d)(3), (f)(1)(C)—(E),"
,,,36.2-668
,,Added,36.2-676
,,7,"36.2-815(a)(2), (3), (b)(1),"
,,,"36.2-825(a)(2), (3), (b),"
,,,36.2-835(a)(2)
,,8,"Ch. 36.2, App. A"
,,9,"Ch. 36.2, App. B, § B-1(b)(6), (7), (c)"
,,10,"Ch. 36.2, App. B, § B-2(d)(3)(E), (4)(K), (21)(C), (f), (g)"
37985,12-17-07,1,"31.1-202(b),"
,,,"31.1-203(f),"
,,,31.1-204
,,2,"31.1-400(b),"
,,,31.1-403(a)
,,,31.1-404
,,3,31.1-600
,,4,"Ch. 31.1,"
,,,"§ B-2(a)(1), (d)"
,,,"Ch. 31.1,"
,,,§ B-3(b)(1)(D)
,,,"Ch. 31.1,"
,,,"§ B-4(a)(1),"
,,,(b)(4)(C)
38011,2- 4-08,1,14.1-1
,,2,"14.1-16(d)(2),"
,,,14.1-18
,,,"14.1-23(d),"
,,,14.1-24
,,3,14.1-54—
,,,14.1-56
38060,4-21-08,1,7-5
,,2  Added,7-8
38069,5-12-08,1  Added,32-199.1
38070,5-12-08,1,20-28(d)
38071,5-12-08,1,20-138
38072,5-12-08,1,1-21
38074,5-12-08,1,20-89(b)(1)
38075,5-12-08,1  Added,11.1-5(f)
38094,5-19-08,1,32-188
,,,32-197
,,,32-199
,,,32-202
,,Added,32-203(5)
38102,5-19-08,1,19-45(b)(1)
38103,5-19-08,1,"19-77(a)(3), (4)"
38111,6- 2-08,1,32-103.20
,,,32-103.23(2)
38137,6-16-08,1  Added,2-314
38151,7- 7-08,1,12-16
,,2,12-18
38152,7- 7-08,1,20-76(e)
,,Rltd,20-76(e)
,,as,20-76(f)
,,,20-89(g)
,,Added,20-89(h)
,,Rltd,"20-89(h), (i)"
,,as,"20-89(i), (j)"
38177,8- 4-08,1,"34-130(g)(1), (4)"
38237,9-15-08,1,"36.2-205(f)(2)(A)(ii), (4)"
,,2,"36.2-314(e),"
,,,"Table 323-1,"
,,,Table 340-1
,,3,"36.2-403(b)(6), (c)"
,,Added,36.2-403(l)
,,,"36.2-410(a), (b)"
,,Added,36.2-410(c)
,,,36.2-429(d)
,,4  Added,"36.2-571(a)(3), (4)"
,,5,36.2-610
,,,"36.2-648(b)(5)(B),"
,,,"Table 652-2,"
,,,"36.2-654(c), (f)(2),"
,,,Table 654-2
,,Added,"36.2-654(f)(2)(D),"
,,,36.2-654(f)(4)
,,,36.2-671(a)
,,6,36.2-704(d)
,,7,"Ch. 36.2, App. A"
38253,10-23-08,1  Added,20-28(n)
38261,10-23-08,1,2-15
38269,11- 3-08,1,11.1-3(b)
,,Added,"11.1-3(c), (d)"
,,2  Added,11.1-5(g)
,,3  Added,11.1-6(j)
,,4,11.1-12(a) (2)
38268,11- 3-08,1,30-109—30-113
38270,11- 3-08,1,11.4-14(i)
,,2  Added,11.4-17(d)
38272,11- 3-08,1,"2-172(a), (b)"
38291,11-17-08,1,"24-24—24-31, 24-48"
38302,12- 1-08,1,"32-86(h), (i)"
38319,12-15-08,1  Added,19-76.1
38331,1- 5-09,1,"Ch 29, Art. VIII(title)"
,,Rpld,29-96—29-100
,,Added,29-96—29-98
38332,1- 5-09,1,2-61
,,2,2-86(a)
38379,3- 2-09,1,35-30
38423,4-20-09,1,"36.2-205(d)(1), (2)"
,,,36.2-314(a)(3)
,,,"36.2-326(b)(3), (d)(2)"
,,,36.2-340
,,,"36.2-403(c)(2)(A), (d)(3)"
,,,36.2-405(b)
,,,36.2-407(a)
,,,"36.2-409(c), (d)(5), (6)"
,,,36.2-413(f)
,,,36.2-418(c)(3)
,,,36.2-420(a)
,,,36.2-421(a)
,,,36.2-423(d)
,,,36.2-427(d)
,,,36.2-429(d)(3)(B)
,,,36.2-430(c)
,,,36.2-620(c)
,,,"36.2-642(e)(3), (4)"
,,,36.2-647(c)
,,,"36.2-648(b)(5), (6)(A), (7)(A)"
,,,36.2-649(a)—(c)
,,,36.2-650(b)
,,,36.2-652(d)
,,,"36.2-654(a)(4), (d)(1)(B), (2),"
,,,"(f)(1), (2),"
,,,Table 654.1
,,,36.2-655(c)(2)
,,,36.2-688
,,,36.2-840
,,Added,36.2-841
,,2,"Ch. 36.2, App. A"
38424,4-20-09,1,36.2-201(a)(4)
,,,36.2-205(i)(6)
,,,36.2-340
,,,36.2-408(b)(2)
,,,36.2-410(b)(3)
,,,36.2-423(e)
,,,36.2-426(b)
,,,"36.2-429(a), (d)(3)"
,,,36.2-647(c)
,,,36.2-652(a)(1)
,,,36.2-653(a)
,,,"36.2-654(d)(4), (f)(2)(C)"
,,,36.2-655(a)(3)
,,,"36.2-661(c)(12), (17)"
,,,36.2-668
,,,36.2-669
,,,36.2-673(f)
,,2  Added,36.2-329
38425,4-20-09,1,31.1-400(b)
38447,5-11-09,1,11.4-8(d)(3)
38448,5-11-09,1,20-90(a)
38452,5-18-09,1,10-52
38492,6-15-09,1,32-103.23(2)
38500,6-15-09,1  Dltd,32-300—32-313
,,Added,32-300—32-314
38491,6-15-09,,Readopting ord.
,,,pg. xii.xliii
38514,7- 6-09,1,"20-131, 20-155"
38554,7-20-09,1,"36.2-561(c)(3),"
,,,36.2-704
,,,36.2-705
38587,9- 8-09,1,14.1-1
,,,"14.1-15(a),"
,,,"14.1-17(b), (d),"
,,,"14.1-21(a),"
,,,14.1-23(a)—(c)
38578,8-17-09,1,21-25
38604,9-21-09,1,14.1-3(g)
38633,10-22-09,1,32-104(c)
38634,10-22-09,1  Added,32-104(d)
38640,11- 2-09,1,21-198(3)—(9)
38657,12- 7-09,1,"21-205, 21-206"
38662,12-21-09,1,10-24
38698,1-19-10,1  Added,21-78(e)
38757,3-15-10,1,32-104(d)
38758,4- 5-10,1,32-284
38762,4- 5-10,1,"24-97(b), (2)"
38793,5-10-10,1,20-89(b)(1)
38794,5-10-10,1,20-90(f)
38797,5-10-10,1  Added,1-24
38837,6- 7-10,,Readopting ord.
,,,pg. xii.xlv
38867,6-21-10,1,30-4(b)
,,Added,30-9.2
,,,30-13.1(a)
38869,6-21-10,1,"32-93(b),"
,,,"32-95(a),"
,,,32-97
,,,32-98.1
,,,32-101.20(b)
,,Added,"32-101.26(c), (d)"
,,,32-102.1
,,,32-103.1
38874,7- 6-10,1  Added,14.1-16(d)(4)
38913,8-16-10,1,10-26
38914,8-16-10,1,10-34
38915,8-16-10,1,10-48
38921,8-16-10,1,11.4-3(d)(6)
38945,9- 7-10,1,"14.1-15(e), (h), (i)"
38953,9-20-10,1,36.2-416(b)
38960,10- 7-10,1,"14.1-3(g),"
,,,"14.1-17(b), (d),"
,,,14.1-23(c)
39001,11- 1-10,1  Rpld,2-188.1
39030,12-20-10,1,30-111(c)
39072,3- 7-11,1  Added,"21-44.1(b)(7), (8)"
39073,3- 7-11,1,"24-97(b), (2)"
39080,3-21-11,1,7-5
39092,4- 4-11,1  Rpld,1-15(b)
39102,5- 2-11,1  Rpld,20-69
39107,5- 9-11,1,20-76(a)
,,2,20-88
,,3,"20-89(b)(1), (2), (c)"
,,4,20-90(b)
39122,5-16-11,1  Added,36.2-108(b)(7)
,,,36.2-201(a)
,,,"36.2-204(b)(1), (c)"
,,Dltd,36.2-205(f)(2)
,,Rnbd,36.2-205(f)(3) as (2)
,,Added,36.2-205(i)
,,Dltd,36.2-205(j)
,,Rltd,36.2-205(k)
,,as,36.2-205(j)
,,Added,36.2-205(j)(2)(C)
,,Dltd,"36.2-310—  36.2-315,"
,,,"36.2-320—  36.2-329,"
,,,36.2-340
,,Added,36.2-310—  36.2-329
,,Rnbd,"Ch. 36.2, Art. 3, Div. 3"
,,as,"Ch. 36.2, Art. 3, Div. 5"
,,,36.2-332(c)(1)(A)
,,,"36.2-403(b)(6), (c)"
,,Dltd,36.2-403(f)
,,Rltd,36.2-403(g)—(l)
,,as,36.2-403(f)—(k)
,,Added,36.2-403(l)
,,,"36.2-410(b)(2), (3)"
,,,"36.2-413(c), (e), (f)"
,,Added,36.2-413(g)
,,,36.2-416(b)
,,Dltd,36.2-416(c)
,,,36.2-425(b)
,,,"36.2-429(d), (e)"
,,,36.2-621(a)
,,,36.2-623
,,,36.2-625
,,,36.2-644(c)(1)
,,,"36.2-652(a)(1), (g)"
,,,Table 652-2
,,,"36.2-654, Table 654-2"
,,,"36.2-661(c)(4), (18)"
,,,36.2-668
,,,36.2-669
,,,"36.2-673(a), (f), (j)"
,,,"Ch. 36.2, App. A"
39129,6- 6-11,1,"14.1-1,  14.1-18"
39135,6- 6-11,,Readopting ord.  pg. xii.xlvii
39157,7-18-11,,21-81(b)
39160,7-18-11,1,10-18
39161,7-18-11,1,10-28
39162,7-18-11,1,10-38
39212,9-19-11,1,"14.1-3(g),"
,,,14.1-16(d)(4)
,,Added,14.1-16(d)(5)
39293,1-17-12,1,"30-111(d), (e)"
39340,4- 2-12,1,11.4-3(d)(6)
39363,5- 7-12,1,"12-3, 12-16,  12-18"
39366,5-14-12,1,"20-89(b)(1), (h)"
,,2  Added,20-91
39378,5-14-12,"1, 2  Added",22.2-61.1
39425,6-18-12,1,"32-102.2(a), (b)"
39437,7- 2-12,,Readopting ord.  pg. xii.xlix
39438,7- 2-12,1,7-7
,,2,12-18
39441,7-16-12,1,10-64
39450,7-16-12,1  Rpld,22.2-1—22.2-75
,,2  Added,22.3-1—22.3-79
39484,8-20-12,1,20-126(a)
39495,9- 4-12,1,"36.2-205(e), (f), (i),"
,,,36.2-311
,,,36.2-315—
,,,36.2-317
,,,36.2-319
,,,36.2-322
,,,36.2-323
,,,36.2-327
,,,36.2-328
,,,"36.2-332(c)(1)(D), (3)(G), (6),"
,,,"36.2-403(c), (h), (k),"
,,,"36.2-404(b),"
,,,"36.2-406(b),"
,,,36.2-407
,,Added,36.2-407.1
,,,"36.2-410(b)(1), (4),"
,,,36.2-411
,,Dltd,36.2-412(c)
,,,"36.2-414(b),"
,,,"36.2-415(b),"
,,,"36.2-418(c),"
,,,"36.2-419(a),"
,,,36.2-420
,,,36.2-421
,,,36.2-423
,,,36.2-429
,,,36.2-430
,,,"36.2-431(b), (c),"
,,,"36.2-421(d), (e)"
,,Added,36.2-433
,,,"36.2-551(b),"
,,,"36.2-552(a), (b),"
,,,"36.2-553(b),"
,,,"36.2-560(b)(1),"
,,,36.2-610
,,Added,"36.2-622(k), (l)"
,,,36.2-642
,,,36.2-647—
,,,36.2-649
,,,36.2-652
,,,"36.2-653(title),"
,,,36.2-654
,,Dltd,36.2-655
,,Added,36.2-661(c)(19)
,,,36.2-662
,,,36.2-668
,,,"36.2-669(b)(1),"
,,,36.2-671
,,Dltd,"36.2-672(c), (d)"
,,Added,36.2-677
,,,"36.2-705(c), (3),"
,,,App. A
39514,10- 1-12,1,"6-7, 6-81(a),"
,,,6-95
39544,11-19-12,1,32-240
39621,4- 1-13,1,14.1-1
,,,"14.1-18(c),"
,,,"14.1-19(b), (c)"
,,Dltd,14.1-19(e)
,,Rltd,14.1-19(f) as (e)
,,2  Added,14.1-54.1
39635,4-15-13,1,2-1
39653,5-13-13,1,1-23(a)
39655,5-13-13,1,32-273
,,Added,32-273.1
,,,32-274
39657,5-13-13,1,22.3-24(b)
,,,"22.3-26.1(a)—(c), (e), (g)—(j)"
,,,22.3-61
,,,22.3-78(b)
39658,5-13-13,1,2-178.2(c)
,,,"4-7(c)(1), (2)"
,,,19-20(i)
,,,19-22
,,,19-25(a)(2)
,,,19-30(a)
,,,19-31
,,,19-32.1(d)
,,,"20-33.1(e), (g)"
,,,"20-33.2(e), (g)"
,,,"20-89(b)(2), (d)"
,,,32-25
,,,32-111
,,,32-22
,,,33-23(c)
39701,7- 1-13,1—4  Added,"Readopting ord.,  pg. xii.li"
39808,11-18-13,1  Added,"Ch. 11.5, §§ 11.5-1—11.5-10"
39847,1-21-14,1  Added,21-231
39854,1-21-14,1  Added,21-221—21-230
39891,3-17-14,1,"19-74, 19-82"
39902,4- 7-14,1  Added,24-104—24-110
39905,4-21-14,1,32-216
,,2,32-217
39911,4-21-14,1  Added,21-221—21-230
39918,4-21-14,1,"36.2-333(a), (b), (c)(2)—(4), (6), (d)—(h), (i)(1), (3), (3)(D), (F), (4), (5), (7)—(9), (j),  (k), (k)(1), (5), (6), (l)(1), (m)(2)—(4), (n)(1), (2)(A)—(M), (o)(1)—(6)"
39933,5-12-14,1,32-43(a)—(c)
,,2,32-46
39955,5-19-14,1  Rpld,11.4-1—11.4-30
,,2  Added,11.6-100—11.6-103
,,,11.6-200—11.6-205
,,,11.6-300—11.6-302
,,,11.6-400—11.6-402
,,,"11.6-500, 11.6-501"
,,,11.6-600—11.6-603
,,,"11.6-700, 11.6-800"
39959,6- 2-14,,20-68(a)
,,,"20-80(a), (e)"
,,,20-82
,,,20-88
,,,20-89
,,,20-90(a)—(c)
,,,20-91
39965,6-16-14,1,20-131
,,2,"20-159(a), (b)"
39966,6-16-14,1,20-135
,,2  Rpld,20-136—20-145
,,3  Rnbd,20-146
,,as,20-136
,,Amd,20-136(a)
,,4  Rnbd,20-147
,,as,20-137
,,Amd,20-137(a)
39969,7-16-14,1,22.3-28(e)
,,2,22.3-31(a)
,,3,22.3-38(a)
,,4,"22.3-39(b)(2), (e)"
,,5,22.3-61
,,6,22.3-62.1(c)
39977,6-16-14,,11.5-3(b)
,,,"11.5-7(a)(5), (b)(3)"
,,,11.5-10
39995,7- 7-14,1—4,"Readopting ord.,  pg. xii.liii"
40005,7-21-14,1  Added,1-25
40019,8-18-14,1,"24-97(b), (b)(2)"
40070,10- 9-14,1,2-124
40088,10-20-14,1,36.2-205(e)Tbl. 205.1
,,Rpld,36.2-205(f)(3)
,,Added,"36.2-205(f)(3), (4)"
,,,"36.2-205(f)Tbl. 205.2, (i)(3)(B)"
,,,36.2-311—  36.2-313
,,,36.2-315
,,,36.2-317(a)
,,Added,36.2-317(g)
,,,36.2-319(Tbl. 319-1)
,,,36.2-322
,,,"36.2-336(c)(1), (2)"
,,,36.2-403(b)(6)
,,,36.2-408(b)
,,,36.2-411(c)(1)
,,,36.2-419(b)
,,Rpld,36.2-422(b)
,,Rnbd,36.2-422(c)—(f)
,,as,36.2-422(b)—(e)
,,,36.2-429(Tbl. 429-1)
,,,"36.2-522(a), (d)"
,,Rpld,36.2-540(c)(3)(E)
,,Added,36.2-551(h)
,,,36.2-552(c)—(e)
,,,36.2-630
,,Added,36.2-644(c)(5)
,,,36.2-645
,,,36.2-647(Tbl. 647-1)
,,,36.2-649(Tbl. 649-1)
,,,36.2-654(Tbl. 654-1)
,,,"36.2-661(c), (c)(11), (c)(20)"
,,,36.2-668(Tbl. 668-1)
,,Rpld,36.2-673(b)
,,Rnbd,36.2-673(c)—(j)
,,as,36.2-673(b)—(i)
,,,App. A
,,,"App. B, B-2 (d), (d)(7)"
,,Rpld,"App. B, B-2(d)(10)—(16)"
,,Rnbd,"App. B, B-2(d)(17)—(27)"
,,as,"App. B, B-2(d)(10)—(20)"
,,Rpld,"App. B, B-2(d)(28), (g)"
40089,11- 3-14,1,14.1-1
,,,"14.1-3(f), (g)"
,,Added,"14.1-3(h), (i)"
,,,14.1-23(a)
,,2  Added,14.1-25
40091,11- 3-14,1,14.1-1
40099,11- 3-14,1,17-31—17-35
40108,11-17-14,1,7-5
40129,12-15-14,1,14.1-1
40180,3-16-15,1,6-2
,,,6-6
,,,6-22
,,,"6-25, 6-26"
,,,6-50—6-50.1
,,,6-51(a)
,,,6-62(d)
,,,6-82
,,,6-117
,,,6-119
,,2,6-27(b)(1)
40224,5-11-15,1,20-28
40225,5-11-15,1,32-284
40226,5-11-15,1,32-16
40240,5-18-15,1,22.3-27(a)
,,2,22.3-42—22.3-45
,,,22.3-76
40262,6-15-15,1,32-93(b)
,,2,32-101.20(b)
,,,32-101.26(b)
40263,6-15-15,1,30-14
40272,6-15-15,1,2-233
,,2,2-235
,,3,22.3-2
40295,7- 6-15,,Adopt. Ord.
40296,7- 6-15,1,36.2-311
,,,36.2-312
,,,36.2-315
,,,36.2-316
,,,36.2-322
,,,36.2-326
,,,36.2-327
,,,36.2-405
,,Rpld,36.2-412
,,,36.2-418
,,,36.2-429
,,,36.2-540
,,,36.2-560
,,,36.2-561
,,,36.2-562
,,,36.2-563
,,,36.2-571
,,,36.2-644
,,Rpld,36.2-645
,,,36.2-653
,,,36.2-654
,,,36.2-668
,,,36.2-669
,,,36.2-834
,,,36.2-836
,,,36.2-837
,,,36.2-841
,,,App. A
,,,App. B
40300,7-20-15,1,2-178.1
40323,8-17-15,1,32-6
,,2,32-19(b)
,,3,32-106(b)
40325,8-17-15,1,"22.3-7(b), (c)"
40336,9- 8-15,1,14.1-1
,,,14.1-15
,,,14.1-17
,,,14.1-21
,,,14.1-23
40363,10- 8-15,1,2-176
,,2  Rpld,2-234
,,,2-235
,,,2-239(b)
40370,10-19-15,1,36.2-311
40378,11- 2-15,1,14.1-1
40387,11-16-15,1,32-108.1(5)
40389,11-16-15,1  Rpld,32-171
,,2  Rpld,34-147
,,3,7-2(g)
,,4,19-31
,,5,19-32.1
,,6,21-25(d)(5)
,,7,22.3-8(b)(2)
,,8,22.3-78(b)
,,9,30-90
,,10,32-37
,,11,33-22
40401,11-16-15,1,10-14—10-59
40784,11-16-15,2  Added,32-171
40502,5-16-16,1,24-97
40534,6- 6-16,1,14.1-1
40566,6-20-16,1,2-121
40571,6-20-16,1,22.3-27
40572,6-20-16,1,22.3-78
40583,7- 5-16,,Adopt. Ord.
40612,8-15-16,1,"Ch. 10, Art. II (Tit.)"
,,,10-16
40637,9- 6-16,1,21-44.1
40710,12- 5-16,1,36.2-205
,,,36.2-311—36.2-313
,,,"36.2-315, 36.2-316"
,,,"36.2-318, 36.2-319"
,,,36.2-322
,,,36.2-327
,,,36.2-333
,,,36.2-335(1)(3)
,,,36.2-336(c)
,,,36.2-406(b)(3)
,,,36.2-408(b)(2)
,,,36.2-411(d)(4)
,,Rpld,36.2-415
,,,36.2-429
,,,36.2-540(c)(2)
,,,36.2-622(e)
,,,"36.2-647(b), (c)"
,,,36.2-648(a)(2)
,,,36.2-649
,,,"36.2-651, 36.2-652"
,,,36.2-653(c)
,,,36.2-654(b)(c)
,,Added,36.2-705(g)
,,,36.2-709
,,Added,36.2-841(c)(4)
,,,"Ch. 36.2, App. A"
,,,"Ch. 36.2, App. B, B-1"
,,,"Ch. 36.2, App. B, B-2"
40711,12- 5-16,1  Added,31.1-303
,,,31.1-604
,,,"Ch. 31.1, App. B, B-2"
,,,"Ch. 31.1, App. B, B-4"
40718,12- 5-16,1,24-97(b)
40748,1-17-17,1,36.2-333
,,,36.2-411
40784,3-20-17,2  Added,32-171
40816,5-15-17,1,14.1-5
40840,6- 5-17,1  Added,6-29
40841,6- 5-17,1  Added,20-18
40842,6- 5-17,1  Added,20-69
40843,6- 5-17,1,24-103(a)
40845,6- 5-17,1  Added,24-93
40846,6- 5-17,1,24-97(b)
40855,6-19-17,1,12-2
40856,6-19-17,1,20-65
,,,"20-67, 20-68"
,,2,"20-88, 20-89"
,,3  Added,20-115.1—  20-115.18
40863,6-19-17,1,32-243—32-245
,,,"32-247.1, 32-248"
,,2  Rpld,32-249
40864,6-19-17,1,32-169(a)(4)a
,,,32-170(a)(4)b
,,,32-171(c)
,,,"32-177, 32-178"
,,,32-180
,,2  Rpld,32-181
40865,6-19-17,1,32-221—32-223
,,,32-225
,,,"32-226.1, 32-227"
,,Rpld,32-228
40866,6-19-17,1,"32-277, 32-278"
,,,32-282.2
,,2  Rpld,282.1
40867,6-19-17,1,32-283(b)
,,,"32-286, 32-287"
,,,32-292—32-294
,,,32-295(a)
40869,6-19-17,1,"22.3-51(c), (d)"
40878,6-19-17,1,11.5-8(a)
40884,7-17-17,,Adopt. Ord.
40900,7-17-17,1,32-196
40916,8- 7-17,1,14.1-1
40922,8- 7-17,1,22.3-42
40985,10-16-17,1  Rpld,4-1—4-9
,,,4-20—4-28
,,,4-40—4-55
,,2  Added,4.1-1
41027,12-18-17,1,10-35
,,,10-37
,,,10-49
,,2  Rpld,"10-51, 10-52"
,,3  Rnbd,10-53—10-59
,,as,10-51—10-57
41032,1- 6-18,1  Rpld,30-101—30-108
,,Added,30-101—30-108.4
41037,1- 6-18,1,11.5-8
41038,1- 6-18,1,14.1-5(c)
41050,2- 5-18,1,30-2
41053,2- 5-18,1,"14.1-5(b), (c)(1)"
41142,5-21-18,1  Rpld,11.1-1—11.1-16
,,Added,11.7-1—11.7-10
41143,5-21-18,1,11.6-603
41154,6- 4-18,1,22.3-8(b)(4)
41169,6-18-18,1,11.6-603
41172,6-18-18,1,11.5-7
,,,11.5-10
41173,6-18-18,,36.2-205
,,,36.2-311
,,,36.2-315
,,,36.2-316
,,,36.2-322
,,,36.2-333
,,,36.2-402
,,,36.2-405
,,,36.2-411
,,,36.2-423
,,,36.2-424
,,,36.2-432
,,,36.2-433
,,,36.2-552
,,,36.2-622
,,,36.2-623
,,,36.2-642
,,,36.2-647
,,,36.2-661
,,,36.2-662
,,,36.2-663
,,,36.2-667
,,,36.2-669
,,,App. A
41174,6-18-18,,36.2-432
41182,7- 2-18,,Adopt. Ord.
41266,9-17-18,1,32-103.2
41278,10- 4-18,1,32-98.1(c)
,,2,32-101.26(c)
41302,11- 5-18,1,7-5
41303,11- 5-18,1,12-16
41340,12-17-18,1,32-103.2(a)
41370,1-22-19,1,36.2-205
,,,36.2-311
,,,36.2-312
,,,36.2-315
,,,36.2-316
,,,36.2-322
,,,36.2-328
,,,36.2-530
,,,36.2-642
,,,36.2-644
,,,36.2-652
,,,36.2-654
,,,36.2-816
,,,36.2-826
,,,36.2-840
41385,2-20-19,1,14.1-1
,,,14.1-5
,,,14.1-16
,,,14.1-19
,,,14.1-21
,,,14.1-23
,,,14.1-25
,,,14.1-54.1
41396,3- 4-19,1  Added,32.2-1—32.5
41398,3- 4-19,1,22.3-2
41399,3-18-19,1,30-14
41410,4- 1-19,1,24-97
41428,4-15-19,1,7-34
,,2,7-35
,,3,7-36
,,4,7-39
,,5,7-42
,,6,7-43
,,7,7-45
41460,6- 3-19,1,20-65
,,,20-131
,,,20-136
,,,20-148—20-159
