0,1,2,3
Ordinance  No.,Adoption  Date,Section,Section  this Code
26292,12- 6-82,,2-189
26298,12- 6-82,1,23.1-1—23.1-23
,,2  Rpld,"2-185, 2-187"
26304,12-13-82,,"Readopts Code, page xi"
26305,12-27-82,1,"2-281(b), 2-285"
,,2,"2-281.1, 2-283.1"
26306,12-13-82,1,19-45
26345,1-10-83,1,20-32(b)
26361,2- 7-83,1,20-28
26371,2- 7-83,1,"34-58, 34-81"
26378,2-28-83,,"36-2, 36-62(9)"
26386,3- 7-83,,21-46
26393,2-28-83,1,32-6
26446,4-11-83,1,2-66(a)(6)
26450,4-25-83,,"36-10(b), 36-297.1—36-297.6, 36-519, 36-520"
26461,5- 2-83,,10-68
26485,5- 2-83,1,"24-26, 24-48(a)(2)"
26506,5-12-83,1,23-104(b)
26526,5-23-83,1,2-15
26537,6-27-83,,2-270—2-272
26545,6-27-83,1,"20-69(d)—(l), 20-78(d)"
,,2,20-77.1
26578,6-27-83,1,23.1-4.1
,,2,"23.1-6, 23.1-14"
26579,6-27-83,1,2-41(b)
26625,8- 8-83,1,20-65(2)
26661,8-22-83,1  Rpld,"32-37, 32-37.1"
26665,9- 6-83,1,2-15(Rule 1)
26710,10-10-83,1,32-104(b)
26711,10-10-83,2,4-1
26731,10-17-83,1,19-2
26763,11- 7-83,1,"29-17, 29-20(8), 29-22—29-24"
26765,11-14-83,,20-26(d)
26774,11-21-83,Rpld,"27-1—27-19, 27-31—27-38"
,,Added,"27.1-1—27.1-6, 27.1-31—27.1-35"
26808,12-19-83,,22-1
26820,12-19-83,1,32-86
26826,12-19-83,1,23.1-3
26827,12-19-83,1,2-222
26888,2-21-84,1,"19-7(b), 19-81.1, 19-82"
26969,4-16-84,1,20-95
26974,4-16-84,1,"2-37(b), (d)"
27022,5-21-84,1,"32-16, 32-104(a), 32-122"
27023,5-21-84,1,32-104(b)
27024,5-21-84,1,19-45
27033,5-21-84,1,24-27(b)
27061,6-18-84,1,22.1-1—22.1-72
,,2  Rpld,"22-1, 22-13—22-23, 22-35—22-39, 22-51—22-74, 22-86—22-96"
27100,6-25-84,,"Readopts Code, page xii.i"
27103,7- 9-84,1,"26-43, 26-44(a), 26-49, 26-53(a), 26-56(a)(intro), 26-64(a)(intro), 26-65"
,,2,"26-44(f), 26-45(a)(4), 26-55(h), 26-56(a)(5), (d), 26-64(a)(4)"
27128,8-13-84,1,21-40.2
27230,10- 8-84,,34-130(g)
27232,9-24-84,1,20-76
,,2,20-89(b)
27246,10- 8-84,1,4-53
,,2,4-55
27309,11-19-84,1,32-190
27334,11-19-84,1,4-41
,,2,4-44
,,3,4-54
27398,1-22-85,1,2-125
27413,1-28-85,1,20-93(c)
27432,2-19-85,,1-2.1
27452,3- 4-85,1,20-49(b)(1)
27456,3- 4-85,1,20-93(c)
27524,4-15-85,1  Rpld,"2-39(b), (c); 2-40(b)"
,,2,2-40
,,3—5,2-39
27532,4-22-85,1,23.1-11(d)
27574,5-20-85,1,"32-16, 32-104(a), 32-122"
27575,5-20-85,1,32-104(b)
27577,5-20-85,1,20-55
,,2,20-65(1)
27595,6-10-85,1  Rpld,2-38
,,2,2-38.1
27596,6-10-85,1,21-40.1(a)
27597,6-10-85,1,2-41(b)
27635,6-24-85,1,18-30(a)
27642,6-24-85,1,23.1-3
27645,7- 8-85,1  Rpld,"19-44, 19-45"
,,2,19-45
,,3,19-45(note)
27666,7- 8-85,1,"2-103(a)(1), (4)"
,,2,2-106
,,3,"2-107(b), (c)"
27713,8-12-85,1,34-130(g)(1)a
27727,8-12-85,,"Readopts Code, page xii.iii"
27761,9- 9-85,1,9-20.1
,,2,9-23
27774,8-26-85,1,34-130(g)(1)a
27789,9-26-85,1,"31-105(b), (c), 31-108"
27796,9-26-85,1,2-37.1
,,2,2-37(d)
27873,11-11-85,1,32-93
,,2,32-95(a)
,,3,32-96
27887,11-18-85,1,4-25
27928,12-16-85,1,32-23.1
27951,1-13-86,1,10-68
27995,2-18-86,,18-1
28016,3-10-86,,7-3
28017,3-10-86,1,30-6
28049,3-17-86,1,2-188.1
28074,4- 7-86,1,2-178.1
28076,4- 7-86,1,22.1-45(b)
,,2,22.1-46(b)
28099,4-28-86,1,24-62
,,2  Rpld,24-65
28101,4-28-86,,7-69
28135,5-12-86,1,22.1-2
,,2,22.1-3(c)
,,Rnbd,22.1-3(e) as 22.1-3(f)
28157,5-19-86,1,"32-16, 32-104(a), 32-122"
28181,6- 2-86,1,4-7(b)
28193,6- 9-86,1,14-2
,,2,14-3
28208,6-16-86,,"Readopts Code, page xii.v"
28253,7-14-86,1,21-40.1
28259,8-11-86,1,1945(a)(2)
28264,7-28-86,1,713
28267,7-28-86,1  Added,5.1-1—5.1-13
,,Rpld.,"5-1—5-4, 5-16—5-22"
28268,7-28-86,2,"32-37, 32-37.1"
28333,9- 8-86,1,32-106
,,2,32-108
28344,9-25-86,1,23.1-6(h)
28345,- 8-86,1,2-239(a)
28347,9- 8-86,1,30-9
28354,10- 6-86,1  Rpld.,"16-11, 16-12"
,,Added,"7-30, 7-31"
28355,10- 6-86,"2, 3","7-32, 7-33"
28356,10- 6-86,1,20-89(b)(1)—(3)
28453,12- 8-86,1,32-102—32-102.4
,,2,32-103
28481,12-15-86,1,22.1-2
28562,3-23-87,1,32-275—32-282
28584,4-13-87,,"7-5, 7-6, 7-113—7-115"
28611,4-27-87,1  Rpld,"2-314—2-332, 36-1—36-14, 36-26—36-35, 36-47, 36-59—36-69, 36-81—36-92, 36-95—36-104, 36-116—36-126,  36-137—36-147, 36-159—36-169, 36-181—36-191, 36-203—36-213, 36-225—36-235, 36-247—36-257,  36-269—36-278, 36-290—36-302, 36-314—36-323, 36-337—36-350, 36-362—36-387, 36-399—36-401,  36-413—36-424, 36-436—36-440, 36-452—36-455, 36-467—36-472, 36-484—36-490, 36-498—36-507,  36-519—36-526, 36-538—36-542, 36-553—36-557"
,,2  Added,"36.1-1—36.1-5, 36.1-7—36.1-10, 36.1-23—36.1-25, 36.1-37, 36.1-51—36.1-58, 36.1-70—36.1-77,  36.1-88—36.1-94, 36.1-106—36.1-112, 36.1-125—36.1-132, 36.1-144—36.1-151, 36.1-163—36.1-173,  36.1-184—36.1-193, 36.1-205—36.1-214, 36.1-226—36.1-237, 36.1-248—36.1-257, 36.1-269—36.1-277,  36.1-289—36.1-295, 36.1-307—36.1-311, 36.1-324—36.1-331, 36.1-342—36.1-349, 36.1-360—36.1-368,  36.1-380—36.1-387, 36.1-400—36.1-415, 36.1-426—36.1-436, 36.1-440—36.1-446, 36.1-460—36.1-463,  36.1-480—36.1-483, 36.1-500, 36.1-501, 36.1-510—36.1-512, 36.1-520—36.1-522, 36.1-530,  36.1-531, 36.1-540, 36.1-541, 36.1-550—36.1-553, 36.1-560—36.1-563, 36.1-570—36.1-585,  36.1-590—36.1-598, 36.1-610—36.1-627, 36.1-640—36.1-643, 36.1-650—36.1-659, 36.1-670—36.1-678,  36.1-690—36.1-699, 36.1-710, 36.1-720—36.1-723"
28624,5-11-87,,11-13
28630,5-18-87,1,32-190
28631,5-18-87,,32-283—32-297
28642,5-18-87,1,"32-16, 32-104(a), 32-122"
28670,6- 8-87,1,"6-62(a), (b)"
28727,7-13-87,1—3,"Readopting ordinance, p. xii.vii"
28728,7-27-87,1,9-20.1
,,2,9-23
28765,8-10-87,1,32-39
28819,10-19-87,,"36.1-164, 36.1-165(1), 36.1-174"
28825,10-12-87,1,"30-30, 30-31, 30-34"
,,2  Rpld,30-32
28831,10-26-87,1,20-32(b)
,,2,20-33
28885,12-21-87,,36.1-640
28900,12- 7-87,1,"27.1-1, 27.1-2"
29076,5- 2-88,1,"6-110, 6-111"
,,2,"6-109.1, 6-112"
29106,5-12-88,1,32-86
29130,5-23-88,1,22.1-44(e)
,,2,22.1-62(d)
29131,5-23-88,1,22.1-9
29164,6-20-88,1,22.1-52  22.1-71
29165,6-20-88,1,22.1-2
,,2,22.1-3(b)
,,3,22.1-41(a)
,,4,22.1-42
,,5,"22.1-44(a), (b)"
,,6,22.1-55
,,7,22.1-57(a)
,,8,22.1-58
,,9,22.1-62(b)
29204,7-11-88,1,6-81(a)
29210,7-11-88,1—3,Readopting ordinance p. xii.ix
29217,7-11-88,1,2-177
29288,9-12-88,1,18-30(a)
29290,9-12-88,1,"7-13, 7-30, 7-32"
,,2  Rpld,7-15
29306,10-10-88,1,32-97
29334,10-10-88,1,"12-3, 12-16—12-19, 20-74"
29357,11- 7-88,1,"22.1-52, 22.1-71"
29631,6-26-89,1,30-4.1
29632,7-10-89,1,"26-43, 26-44(a), 26-55(b), (e), 26-56(a)(5), (c)—(e), 26-63, 26-65, 26-66"
,,2,"26-44(g), (i), 26-51(g), (h), 26-52(d), 26-55(i), 26-68"
29649,6-26-89,1,2-138
29650,6-26-89,1,22.1-2
,,2,22.1-3(g)
,,3  Rpld,22.1-4
,,4  Added,"22.1-4.1, 22.1-4.2"
29651,6-26-89,1,22.1-44(g)
,,2,22.1-45(e)
,,3,22.1-62(e)
29652,6-26-89,1,22.1-44(f)
,,2,22.1-45(d)
29677,7-10-89,1—3,"Readopting ordinance, p. xii.xi"
29699,8-14-89,,9-21(b)
29786,9-25-89,1,21-195—21-203
29788,10- 2-89,1,"20-6(a), 20-7(d), 20-11(e), 20-26(b), 20-28(c), 20-65(11), 20-69(j), 20-76, 20-81(c), 20-89(b)(1)—(3), (c), 20-93, 20-101—20-106, 21-40.1(a)"
29829,11-13-89,1,"26-43, 26-44(b), (h), 26-45, 26-46(b), 26-56(a), 26-66(c), (d)"
29883,12-26-89,1,32-169(a)
,,2  Rpld,32-169.1
29905,1- 2-90,1,21-124—21-128
29908,1-16-90,1,32-169(b)
29927,2- 5-90,1,21-18.1
29932,2-20-90,,"36.1-25, 36.1-164(8), 36.1-206(8), 36.1-227(9), (39), 36.1-249(20), (24), 36.1-250(5),  36.1-402(b)(1), (c)(4), 36.1-531(j), 36.1-585(b), 36.1-723"
29958,3- 5-90,1,23.1-18(b)
,,2,23.1-22
,,3,23.1-19.1
30028,5-14-90,1,"32-104.1, 32-108.1, 32-108.2"
,,2,"32-106, 32-108(a)"
30029,5-14-90,,20-31
30066,5-29-90,1,21-65
,,2,"21-66—21-71, 21-73—21-77.1"
30070,6-11-90,,2-166(b.1)
30085,6-11-90,1,"23.1-4(a), (b)"
,,2,23.1-4.1(a)
,,3,23.1-6(g)
,,4,"23.1-10(b), (b.1)"
30096,6-11-90,1,21-67
30108,6-18-90,1,20-65(15)
,,2,"20-89(b)(1), (3)"
30111,6-18-90,1,21-72
30127,6-25-90,1—3,"Readopting ordinance, p. xii.xiii"
30145,7- 9-90,1  Rpld,20-65(11)
,,2,20-69(m)
,,3,20-76
,,4,"20-89(b)(3), (4)"
30173,7-23-90,1,"1-10(a), (b)"
30195,8-13-90,1,2-126
30198,8-13-90,1,20-33.1
30269,10-15-90,1,"10-46, 10-50"
,,,10-60
30270,10-15-90,1,34-130(g)
